id,member_id,loan_amnt,term,grade,sub_grade,numeric_grade,purpose,addr_state,earliest_cr_line_with_correct_year,issue_date_with wrong year,date,term_int
67988924,72847668,24875, 60 months,E,E4,21,debt_consolidation,MN,4/1/2011,6/14/2019,6/14/2011,60
67988931,72847675,20000, 60 months,B,B4,51,debt_consolidation,TX,4/1/2011,6/14/2019,6/14/2011,60
67988932,72847676,24000, 36 months,C,C5,40,debt_consolidation,NY,4/1/2011,6/14/2019,6/14/2011,36
67988933,72847677,34500, 36 months,C,C5,40,debt_consolidation,CA,4/1/2011,6/14/2019,6/14/2011,36
67988946,72847691,27600, 60 months,D,D2,33,debt_consolidation,CA,4/1/2011,6/14/2019,6/14/2011,60
67988959,72847704,22000, 60 months,C,C5,40,debt_consolidation,IN,4/1/2011,6/14/2019,6/14/2011,60
67988965,72847710,10000, 36 months,C,C5,40,debt_consolidation,IL,4/1/2011,6/14/2019,6/14/2011,36
67988971,72847716,28100, 36 months,B,B4,51,debt_consolidation,CA,4/1/2011,6/14/2019,6/14/2011,36
67989034,72847780,15275, 60 months,D,D4,31,debt_consolidation,TX,4/1/2011,6/14/2019,6/14/2011,60
67989035,72847781,21000, 36 months,E,E2,23,debt_consolidation,FL,4/1/2011,5/14/2019,5/14/2011,36
67989041,72847787,10000, 36 months,A,A3,62,debt_consolidation,WI,4/1/2011,5/14/2019,5/14/2011,36
67989056,72847802,7000, 36 months,B,B5,50,debt_consolidation,TX,4/1/2011,5/14/2019,5/14/2011,36
67989060,72847806,14400, 36 months,C,C1,44,debt_consolidation,VA,4/1/2011,5/14/2019,5/14/2011,36
67989061,72847807,5000, 36 months,C,C5,40,debt_consolidation,VA,4/1/2011,5/14/2019,5/14/2011,36
67989066,72847812,15000, 36 months,D,D2,33,debt_consolidation,CA,4/1/2011,5/14/2019,5/14/2011,36
67989070,72847816,16000, 36 months,C,C5,40,debt_consolidation,KY,4/1/2011,4/14/2019,4/14/2011,36
67989091,72847837,24000, 36 months,D,D2,33,debt_consolidation,AL,4/1/2011,5/14/2019,5/14/2011,36
67989092,72847838,7500, 36 months,C,C2,43,debt_consolidation,NM,4/1/2011,4/14/2019,4/14/2011,36
67989106,72847853,12600, 60 months,C,C2,43,debt_consolidation,CO,4/1/2011,4/14/2019,4/14/2011,60
67989121,72847869,24000, 60 months,E,E1,24,debt_consolidation,NC,4/1/2011,4/14/2019,4/14/2011,60
67989139,72847887,10850, 36 months,A,A4,61,debt_consolidation,SC,4/1/2011,4/14/2019,4/14/2011,36
67989140,72847888,15000, 36 months,C,C5,40,debt_consolidation,OK,4/1/2011,4/14/2019,4/14/2011,36
67989145,72847893,12000, 60 months,F,F2,13,debt_consolidation,NY,4/1/2011,4/14/2019,4/14/2011,60
67989175,72847923,21575, 60 months,C,C1,44,debt_consolidation,NJ,4/1/2011,4/14/2019,4/14/2011,60
67989176,72847924,23000, 60 months,B,B5,50,debt_consolidation,VA,4/1/2011,4/14/2019,4/14/2011,60
67989177,72847925,28000, 60 months,C,C2,43,debt_consolidation,FL,4/1/2011,3/14/2019,3/14/2011,60
67989182,72847930,18200, 36 months,E,E3,22,debt_consolidation,MD,4/1/2011,4/14/2019,4/14/2011,36
67989183,72847931,20000, 36 months,C,C2,43,debt_consolidation,CA,4/1/2011,3/14/2019,3/14/2011,36
67989192,72847940,10000, 36 months,B,B3,52,debt_consolidation,NY,4/1/2011,3/14/2019,3/14/2011,36
67989195,72847943,24000, 60 months,F,F1,14,debt_consolidation,UT,4/1/2011,3/14/2019,3/14/2011,60
67989198,72847946,4000, 36 months,A,A1,64,debt_consolidation,OH,4/1/2011,3/14/2019,3/14/2011,36
67989208,72847956,15000, 36 months,C,C5,40,debt_consolidation,IN,4/1/2011,3/14/2019,3/14/2011,36
67989220,72847969,30000, 60 months,D,D3,32,debt_consolidation,MI,4/1/2011,3/14/2019,3/14/2011,60
67989235,72847986,15825, 60 months,E,E4,21,debt_consolidation,TN,4/1/2011,3/14/2019,3/14/2011,60
67989246,72847998,8000, 36 months,B,B3,52,debt_consolidation,TX,4/1/2011,2/14/2019,2/14/2011,36
67989247,72848000,20000, 36 months,F,F5,10,debt_consolidation,TX,4/1/2011,2/14/2019,2/14/2011,36
67989257,72848011,6000, 36 months,D,D1,34,debt_consolidation,LA,4/1/2011,2/14/2019,2/14/2011,36
67989309,72848065,9600, 36 months,C,C5,40,debt_consolidation,CA,4/1/2011,2/14/2019,2/14/2011,36
67989320,72848076,35000, 36 months,D,D3,32,debt_consolidation,AZ,4/1/2011,2/14/2019,2/14/2011,36
67989324,72848080,35000, 60 months,C,C5,40,debt_consolidation,TX,4/1/2011,2/14/2019,2/14/2011,60
67989325,72848081,30000, 60 months,D,D1,34,debt_consolidation,MO,4/1/2011,1/14/2019,1/14/2011,60
67989326,72848082,20000, 36 months,C,C1,44,debt_consolidation,VA,4/1/2011,1/14/2019,1/14/2011,36
67989350,72848106,8000, 36 months,A,A4,61,debt_consolidation,TX,4/1/2011,1/14/2019,1/14/2011,36
67989353,72848109,11000, 60 months,F,F4,11,debt_consolidation,CA,4/1/2011,1/14/2019,1/14/2011,60
67989354,72848110,24000, 60 months,D,D3,32,debt_consolidation,UT,4/1/2011,1/14/2019,1/14/2011,60
67989356,72848112,25000, 36 months,B,B4,51,debt_consolidation,PA,4/1/2011,12/15/2019,12/15/2011,36
67989367,72848123,16800, 60 months,A,A1,64,debt_consolidation,IL,4/1/2011,12/15/2019,12/15/2011,60
67989377,72848133,6600, 36 months,A,A5,60,debt_consolidation,MD,4/1/2011,12/15/2019,12/15/2011,36
67989414,72848170,20000, 60 months,C,C4,41,debt_consolidation,TX,4/1/2011,12/15/2019,12/15/2011,60
67989416,72848172,8000, 36 months,A,A1,64,debt_consolidation,CO,4/1/2011,12/15/2019,12/15/2011,36
67989421,72848177,7800, 36 months,B,B2,53,debt_consolidation,OH,4/1/2011,12/15/2019,12/15/2011,36
67989422,72848178,12000, 60 months,C,C5,40,debt_consolidation,LA,4/1/2011,12/15/2019,12/15/2011,60
67989445,72848202,19500, 60 months,B,B1,54,debt_consolidation,CA,4/1/2011,12/15/2019,12/15/2011,60
67989448,72848205,12000, 36 months,E,E2,23,debt_consolidation,NV,4/1/2011,12/15/2019,12/15/2011,36
67989497,72848255,9000, 36 months,C,C4,41,debt_consolidation,IL,4/1/2011,12/15/2019,12/15/2011,36
67989498,72848256,9000, 36 months,A,A2,63,debt_consolidation,TX,4/1/2011,12/15/2019,12/15/2011,36
67989502,72848260,5400, 36 months,E,E3,22,debt_consolidation,MA,4/1/2011,12/15/2019,12/15/2011,36
67989507,72848265,11200, 60 months,C,C1,44,debt_consolidation,CT,4/1/2011,12/15/2019,12/15/2011,60
67989509,72848267,10000, 36 months,B,B5,50,debt_consolidation,DC,4/1/2011,12/15/2019,12/15/2011,36
67989512,72848270,15000, 36 months,E,E2,23,debt_consolidation,AK,4/1/2011,12/15/2019,12/15/2011,36
67989533,72848291,10350, 36 months,B,B2,53,debt_consolidation,CO,4/1/2011,12/15/2019,12/15/2011,36
67989587,72848347,30000, 60 months,C,C3,42,debt_consolidation,MO,4/1/2011,12/15/2019,12/15/2011,60
67989605,72848366,8000, 36 months,B,B5,50,debt_consolidation,NY,4/1/2011,12/15/2019,12/15/2011,36
67989638,72848401,35000, 36 months,E,E3,22,debt_consolidation,NY,4/1/2011,12/15/2019,12/15/2011,36
67989650,72848414,12550, 60 months,C,C1,44,debt_consolidation,CA,4/1/2011,11/15/2019,11/15/2011,60
67989735,72848499,10000, 36 months,D,D4,31,debt_consolidation,WA,4/1/2011,11/15/2019,11/15/2011,36
67989743,72848507,35000, 36 months,C,C3,42,debt_consolidation,VA,4/1/2011,11/15/2019,11/15/2011,36
67989782,72848553,32000, 60 months,C,C4,41,debt_consolidation,NY,4/1/2011,11/15/2019,11/15/2011,60
67989784,72848555,5600, 36 months,B,B4,51,debt_consolidation,CA,4/1/2011,11/15/2019,11/15/2011,36
67989802,72848573,19825, 60 months,D,D2,33,debt_consolidation,FL,4/1/2011,11/15/2019,11/15/2011,60
67989824,72848595,23750, 60 months,A,A5,60,debt_consolidation,CA,4/1/2011,11/15/2019,11/15/2011,60
67989831,72848602,10000, 60 months,C,C3,42,debt_consolidation,NC,4/1/2011,11/15/2019,11/15/2011,60
67989832,72848603,35000, 60 months,B,B2,53,debt_consolidation,VA,4/1/2011,11/15/2019,11/15/2011,60
67989835,72848606,30000, 36 months,E,E3,22,debt_consolidation,NC,4/1/2011,11/15/2019,11/15/2011,36
67989844,72848615,22000, 36 months,A,A2,63,debt_consolidation,MD,4/1/2011,11/15/2019,11/15/2011,36
67989850,72848621,33000, 60 months,B,B4,51,debt_consolidation,SC,4/1/2011,11/15/2019,11/15/2011,60
67989853,72848625,5000, 36 months,D,D4,31,debt_consolidation,NC,4/1/2011,11/15/2019,11/15/2011,36
67989872,72848644,8725, 36 months,C,C3,42,debt_consolidation,CA,4/1/2011,11/15/2019,11/15/2011,36
67989910,72848684,12000, 36 months,B,B5,50,debt_consolidation,SC,4/1/2011,11/15/2019,11/15/2011,36
67998121,72856833,20925, 36 months,B,B5,50,debt_consolidation,FL,4/1/2011,10/15/2019,10/15/2011,36
67998141,72856853,9600, 36 months,A,A5,60,debt_consolidation,CA,4/1/2011,10/15/2019,10/15/2011,36
67998146,72856858,8625, 36 months,B,B1,54,debt_consolidation,UT,4/1/2011,10/15/2019,10/15/2011,36
67998181,72856895,4900, 36 months,D,D1,34,debt_consolidation,OH,4/1/2011,10/15/2019,10/15/2011,36
67998182,72856896,20550, 60 months,D,D1,34,debt_consolidation,NY,4/1/2011,10/15/2019,10/15/2011,60
67998189,72856903,28000, 60 months,B,B2,53,debt_consolidation,CA,4/1/2011,10/15/2019,10/15/2011,60
67998192,72856906,24000, 60 months,B,B3,52,debt_consolidation,FL,4/1/2011,10/15/2019,10/15/2011,60
67998215,72856929,12300, 60 months,C,C1,44,debt_consolidation,IL,4/1/2011,10/15/2019,10/15/2011,60
67998233,72856947,18975, 60 months,C,C3,42,debt_consolidation,OH,4/1/2011,10/15/2019,10/15/2011,60
67998245,72856959,11425, 36 months,D,D2,33,debt_consolidation,TX,4/1/2011,10/15/2019,10/15/2011,36
67998258,72856973,9600, 36 months,D,D5,30,debt_consolidation,MA,4/1/2011,10/15/2019,10/15/2011,36
67998277,72856993,5000, 36 months,B,B2,53,debt_consolidation,GA,4/1/2011,10/15/2019,10/15/2011,36
67998292,72857008,25000, 36 months,C,C2,43,debt_consolidation,AZ,4/1/2011,10/15/2019,10/15/2011,36
67998298,72857014,8000, 36 months,D,D4,31,debt_consolidation,OH,4/1/2011,10/15/2019,10/15/2011,36
67998308,72857025,1600, 36 months,C,C1,44,debt_consolidation,OH,4/1/2011,10/15/2019,10/15/2011,36
67998310,72857027,1500, 36 months,B,B2,53,debt_consolidation,CO,4/1/2011,10/15/2019,10/15/2011,36
67998383,72857101,16000, 60 months,B,B2,53,debt_consolidation,CA,4/1/2011,10/15/2019,10/15/2011,60
67998385,72857103,9600, 36 months,B,B2,53,debt_consolidation,AZ,4/1/2011,10/15/2019,10/15/2011,36
67998396,72857114,7000, 36 months,D,D5,30,debt_consolidation,NY,4/1/2011,10/15/2019,10/15/2011,36
67998416,72857135,18000, 60 months,C,C4,41,debt_consolidation,NY,4/1/2011,10/15/2019,10/15/2011,60
67998435,72857154,2500, 36 months,C,C2,43,debt_consolidation,MS,4/1/2011,10/15/2019,10/15/2011,36
67998451,72857170,1000, 36 months,A,A5,60,debt_consolidation,OR,4/1/2011,10/15/2019,10/15/2011,36
67998453,72857172,9000, 36 months,F,F5,10,debt_consolidation,TN,4/1/2011,9/15/2019,9/15/2011,36
67998492,72857212,10800, 36 months,F,F1,14,debt_consolidation,LA,4/1/2011,9/15/2019,9/15/2011,36
67998507,72857228,16000, 60 months,C,C1,44,debt_consolidation,OH,4/1/2011,9/15/2019,9/15/2011,60
67998520,72857241,15000, 36 months,A,A1,64,debt_consolidation,CO,4/1/2011,9/15/2019,9/15/2011,36
67998529,72857251,35000, 60 months,B,B5,50,debt_consolidation,OH,4/1/2011,9/15/2019,9/15/2011,60
67998530,72857252,20225, 36 months,C,C4,41,debt_consolidation,GA,4/1/2011,9/15/2019,9/15/2011,36
67998536,72857258,12000, 36 months,C,C1,44,debt_consolidation,TX,4/1/2011,9/15/2019,9/15/2011,36
67998547,72857269,14400, 36 months,B,B3,52,debt_consolidation,NJ,4/1/2011,9/15/2019,9/15/2011,36
67998548,72857270,25000, 36 months,A,A4,61,debt_consolidation,CT,4/1/2011,9/15/2019,9/15/2011,36
67998553,72857275,12000, 36 months,D,D4,31,debt_consolidation,IL,4/1/2011,9/15/2019,9/15/2011,36
67998611,72857335,8000, 36 months,D,D3,32,debt_consolidation,PA,4/1/2011,9/15/2019,9/15/2011,36
67998624,72857347,20800, 36 months,B,B1,54,debt_consolidation,NJ,4/1/2011,9/15/2019,9/15/2011,36
67998653,72857379,20000, 36 months,E,E3,22,debt_consolidation,GA,4/1/2011,8/15/2019,8/15/2011,36
67998669,72857395,5575, 36 months,C,C1,44,debt_consolidation,AL,4/1/2011,8/15/2019,8/15/2011,36
67998715,72857441,6000, 36 months,C,C4,41,debt_consolidation,KY,4/1/2011,8/15/2019,8/15/2011,36
67998716,72857442,15000, 36 months,B,B5,50,debt_consolidation,CA,4/1/2011,8/15/2019,8/15/2011,36
67998717,72857443,5000, 36 months,C,C1,44,debt_consolidation,NC,4/1/2011,8/15/2019,8/15/2011,36
67998725,72857451,30000, 36 months,C,C5,40,debt_consolidation,PA,4/1/2011,8/15/2019,8/15/2011,36
67998738,72857465,13125, 60 months,B,B1,54,debt_consolidation,IL,4/1/2011,8/15/2019,8/15/2011,60
67998751,72857478,35000, 36 months,B,B5,50,debt_consolidation,PA,4/1/2011,8/15/2019,8/15/2011,36
67998767,72857494,21675, 60 months,C,C4,41,debt_consolidation,CA,4/1/2011,8/15/2019,8/15/2011,60
67998774,72857501,10000, 36 months,C,C3,42,debt_consolidation,MT,4/1/2011,8/15/2019,8/15/2011,36
67998775,72857502,15000, 36 months,C,C2,43,debt_consolidation,OH,4/1/2011,8/15/2019,8/15/2011,36
67998861,72857591,12000, 36 months,B,B1,54,debt_consolidation,TX,4/1/2011,8/15/2019,8/15/2011,36
67998878,72857608,24000, 60 months,B,B2,53,debt_consolidation,MI,4/1/2011,8/15/2019,8/15/2011,60
67998888,72857618,15000, 60 months,A,A5,60,debt_consolidation,FL,4/1/2011,8/15/2019,8/15/2011,60
67998898,72857628,6650, 36 months,D,D1,34,debt_consolidation,FL,4/1/2011,8/15/2019,8/15/2011,36
67998900,72857630,12000, 60 months,D,D2,33,debt_consolidation,NJ,4/1/2011,8/15/2019,8/15/2011,60
67998914,72857645,24000, 36 months,E,E1,24,debt_consolidation,MD,4/1/2011,8/15/2019,8/15/2011,36
67998934,72857667,3600, 36 months,D,D1,34,debt_consolidation,CT,4/1/2011,8/15/2019,8/15/2011,36
67998954,72857687,9000, 36 months,E,E2,23,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67998968,72857701,6000, 36 months,C,C4,41,debt_consolidation,OK,4/1/2011,7/15/2019,7/15/2011,36
67999033,72857768,6000, 36 months,D,D3,32,debt_consolidation,VA,4/1/2011,7/15/2019,7/15/2011,36
67999043,72857778,5000, 36 months,B,B2,53,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67999057,72857791,10000, 36 months,A,A3,62,debt_consolidation,PA,4/1/2011,8/15/2019,8/15/2011,36
67999068,72857802,6500, 36 months,E,E3,22,debt_consolidation,FL,4/1/2011,7/15/2019,7/15/2011,36
67999081,72857815,6725, 36 months,D,D2,33,debt_consolidation,VA,4/1/2011,7/15/2019,7/15/2011,36
67999082,72857816,28000, 60 months,C,C3,42,debt_consolidation,TX,4/1/2011,7/15/2019,7/15/2011,60
67999086,72857820,4350, 36 months,B,B3,52,debt_consolidation,FL,4/1/2011,7/15/2019,7/15/2011,36
67999089,72857823,14400, 60 months,D,D4,31,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,60
67999102,72857836,10000, 36 months,C,C5,40,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67999110,72857844,6000, 36 months,E,E4,21,debt_consolidation,TX,4/1/2011,7/15/2019,7/15/2011,36
67999131,72857866,3000, 36 months,A,A2,63,debt_consolidation,NC,4/1/2011,7/15/2019,7/15/2011,36
67999134,72857869,4000, 36 months,A,A1,64,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67999151,72857886,15000, 60 months,B,B3,52,debt_consolidation,TX,4/1/2011,7/15/2019,7/15/2011,60
67999159,72857894,11625, 60 months,A,A5,60,debt_consolidation,MT,4/1/2011,7/15/2019,7/15/2011,60
67999164,72857899,10000, 36 months,A,A5,60,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67999172,72857907,24000, 36 months,B,B5,50,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67999215,72857951,15000, 60 months,C,C1,44,debt_consolidation,TX,4/1/2011,7/15/2019,7/15/2011,60
67999219,72857955,5000, 36 months,B,B3,52,debt_consolidation,GA,4/1/2011,7/15/2019,7/15/2011,36
67999229,72857965,6400, 36 months,C,C4,41,debt_consolidation,CA,4/1/2011,7/15/2019,7/15/2011,36
67999233,72857969,5000, 36 months,D,D1,34,debt_consolidation,OK,4/1/2011,7/15/2019,7/15/2011,36
67999250,72857987,16000, 60 months,E,E5,10,debt_consolidation,IL,4/1/2011,7/15/2019,7/15/2011,60
67999283,72858020,1000, 36 months,D,D3,32,debt_consolidation,PA,4/1/2011,7/15/2019,7/15/2011,36
67999306,72858043,28000, 60 months,F,F2,13,debt_consolidation,CA,4/1/2011,6/15/2019,6/15/2011,60
67999307,72858044,6000, 36 months,D,D3,32,debt_consolidation,NY,4/1/2011,6/15/2019,6/15/2011,36
67999315,72858052,15600, 36 months,A,A4,61,debt_consolidation,TX,4/1/2011,6/15/2019,6/15/2011,36
67999358,72858095,12000, 36 months,C,C2,43,debt_consolidation,VA,4/1/2011,6/15/2019,6/15/2011,36
67999377,72858114,28000, 60 months,A,A1,64,debt_consolidation,OR,4/1/2011,6/15/2019,6/15/2011,60
67999380,72858117,5000, 36 months,D,D2,33,debt_consolidation,AZ,4/1/2011,6/15/2019,6/15/2011,36
67999388,72858125,18000, 36 months,C,C3,42,debt_consolidation,TX,4/1/2011,6/15/2019,6/15/2011,36
67999405,72858142,18000, 60 months,D,D1,34,debt_consolidation,MD,4/1/2011,6/15/2019,6/15/2011,60
67999432,72858171,10000, 36 months,D,D5,30,debt_consolidation,NC,4/1/2011,6/15/2019,6/15/2011,36
67999453,72858192,6000, 36 months,C,C5,40,debt_consolidation,CA,4/1/2011,6/15/2019,6/15/2011,36
67999460,72858200,20000, 36 months,A,A5,60,debt_consolidation,NC,4/1/2011,6/15/2019,6/15/2011,36
67999518,72858260,21000, 36 months,C,C1,44,debt_consolidation,WA,4/1/2011,5/15/2019,5/15/2011,36
67999533,72858275,4000, 36 months,A,A1,64,debt_consolidation,KS,4/1/2011,5/15/2019,5/15/2011,36
67999542,72858284,20000, 36 months,D,D4,31,debt_consolidation,FL,4/1/2011,5/15/2019,5/15/2011,36
67999544,72858286,10000, 36 months,E,E3,22,debt_consolidation,WI,4/1/2011,5/15/2019,5/15/2011,36
67999546,72858288,16000, 36 months,B,B3,52,debt_consolidation,CA,4/1/2011,6/15/2019,6/15/2011,36
67999557,72858299,11100, 36 months,D,D3,32,debt_consolidation,AL,4/1/2011,5/15/2019,5/15/2011,36
67999558,72858300,8425, 36 months,C,C1,44,debt_consolidation,TX,4/1/2011,5/15/2019,5/15/2011,36
67999574,72858316,5000, 36 months,F,F1,14,debt_consolidation,CA,4/1/2011,5/15/2019,5/15/2011,36
67999580,72858322,5000, 36 months,E,E2,23,debt_consolidation,MA,4/1/2011,5/15/2019,5/15/2011,36
67999602,72858345,15000, 36 months,D,D4,31,debt_consolidation,KY,4/1/2011,5/15/2019,5/15/2011,36
67999606,72858349,21000, 36 months,A,A5,60,debt_consolidation,CT,4/1/2011,5/15/2019,5/15/2011,36
67999621,72858364,4575, 36 months,B,B4,51,debt_consolidation,TX,4/1/2011,5/15/2019,5/15/2011,36
67999682,72858426,16000, 36 months,B,B2,53,debt_consolidation,AZ,4/1/2011,5/15/2019,5/15/2011,36
67999685,72858429,19600, 60 months,D,D4,31,debt_consolidation,NJ,4/1/2011,4/15/2019,4/15/2011,60
67999698,72858442,16800, 36 months,E,E2,23,debt_consolidation,IN,4/1/2011,4/15/2019,4/15/2011,36
67999704,72858448,6000, 36 months,B,B1,54,debt_consolidation,GA,4/1/2011,4/15/2019,4/15/2011,36
67999719,72858463,20000, 60 months,E,E3,22,debt_consolidation,NC,4/1/2011,5/15/2019,5/15/2011,60
67999728,72858472,16700, 60 months,E,E2,23,debt_consolidation,TX,4/1/2011,4/15/2019,4/15/2011,60
67999755,72858499,5600, 36 months,C,C2,43,debt_consolidation,TX,4/1/2011,4/15/2019,4/15/2011,36
67999759,72858503,7200, 36 months,C,C3,42,debt_consolidation,NC,4/1/2011,4/15/2019,4/15/2011,36
67999766,72858510,24000, 60 months,A,A1,64,debt_consolidation,OK,4/1/2011,4/15/2019,4/15/2011,60
67999774,72858518,27500, 36 months,C,C5,40,debt_consolidation,NJ,4/1/2011,5/15/2019,5/15/2011,36
67999777,72858521,10400, 60 months,C,C4,41,debt_consolidation,WA,4/1/2011,4/15/2019,4/15/2011,60
67999809,72858554,16000, 36 months,C,C2,43,debt_consolidation,CA,4/1/2011,4/15/2019,4/15/2011,36
67999828,72858573,12000, 36 months,E,E3,22,debt_consolidation,KS,4/1/2011,4/15/2019,4/15/2011,36
67999861,72858609,7000, 36 months,C,C1,44,debt_consolidation,FL,4/1/2011,4/15/2019,4/15/2011,36
67999867,72858616,25000, 36 months,B,B5,50,debt_consolidation,NY,4/1/2011,4/15/2019,4/15/2011,36
67999874,72858623,20000, 36 months,B,B4,51,debt_consolidation,NY,4/1/2011,4/15/2019,4/15/2011,36
67999914,72858663,21000, 60 months,E,E5,10,debt_consolidation,NJ,4/1/2011,4/15/2019,4/15/2011,60
67999925,72858674,31850, 60 months,C,C5,40,debt_consolidation,NY,4/1/2011,4/15/2019,4/15/2011,60
67999938,72858687,10400, 60 months,D,D1,34,debt_consolidation,NC,4/1/2011,4/15/2019,4/15/2011,60
67999969,72858718,23800, 36 months,B,B3,52,debt_consolidation,CA,4/1/2011,4/15/2019,4/15/2011,36
67999975,72858724,10000, 36 months,E,E1,24,debt_consolidation,GA,4/1/2011,4/15/2019,4/15/2011,36
67999988,72858737,8000, 36 months,B,B4,51,debt_consolidation,NJ,4/1/2011,4/15/2019,4/15/2011,36
67999993,72858742,21000, 60 months,D,D4,31,debt_consolidation,CA,4/1/2011,4/15/2019,4/15/2011,60
68000012,72858761,18000, 36 months,A,A5,60,debt_consolidation,CA,4/1/2011,3/15/2019,3/15/2011,36
68000031,72858779,6000, 36 months,D,D4,31,debt_consolidation,NY,4/1/2011,4/15/2019,4/15/2011,36
